Event Name,Artist,with / opener,Host,Promoter,Offerings,Date,Time,Venue name,Address,City,State,Ticket Price,Ticket Link,All ages,21+,Thumbnail
Dockside Festival of the Arts,-,-,Gravenhurst Muskoka Wharf Special Events Field,-,-,"August 19-21, 2022",-,Gravenhurst Muskoka Wharf Special Events Field,"Gravenhurst, ON",Gravenhurst,ON,-,-,-,-,-
Eastern Music Festival,Gerard Schwarz,Christopher L Williams,-,-,-,June 25 - July 30 2022,-,-,"Greensboro, NC",Greensboro,NC,-,www.easternmusicfestival.org,-,-,-
West Oahu Music Festival,Fiji Three,Kapena B.E.T Norm Pati,Kapolei Golf Course,-,-,Fri. Sept. 9,-,Kapolei Golf Course,Kapolei Golf Course,-,-,$25,www.hifinest.com,-,-,-
Festival Daydream,Major Lazer ,Soundsystems Artbat Paul van Dyk Nervo Martin Jensen Cedric Gervais Roger Sanchez Block & Crown,Qatar,Qatar Airways Qatar Tourism,-,Nov-22,-,Qatar,-,-,-,-,-,-,-,-
Ship Wrecked Music Festival,Abbe May ,Andy Bull Art of Sleeping Holy Moly Jesse Davidson Kingswood Lurch & Chief Mosquito Coast Shannon Noll The delta riggs thundamentals yeo,Victoria Park Foreshore,Manic Events Management,battle of the band winners silent disco djs largest artificial beach village and market place arts and crafts chillout area ,Apr-09,-,Victoria Park Foreshore,Victoria Park Foreshore,Perth,-,$95,ticketbooth.com.au,-,-,-
Leaf Festival ,Angelique Kidjo's Remain in light,the wood brothers cory henry & the funk apostles ,-,-,-,-,-,-,"Black Mountain, NC",-,North Carolina,-,theleaf.org,-,-,-
Coachella ,Beck ,the chemical brothers morrissey perry farrell rage against the machine tool ben harper and the innocent criminals,-,Goldenvoice,-,October 9 October 10,-,-,-,-,-,-,-,-,-,-
Made in America ,Beyonce ,The Weeknd Axwell & Ingrosso J. Cole Bassnectar Modest Mouse,Benjamin Franklin Parkway ,Budweiser,-,Sept 5th Sept 6th ,-,Benjamin Franklin Parkway Benjamin Franklin Parkway ,-,Philadelphia,-,-,ticketmaster.com,-,-,-
Rock on the Beach Music Festival,-,-,-,-,-,17-19 June 2022,3 PM - 10 PM,-,"Patong Beach, Phuket",Patong Beach,Phuket,-,-,-,-,-
Glowhard,Darren Styles,Dimatik Inquisitive,"The Coliseum, Hard Rock Hotel Singapore, Resorts World Sentosa",SoundStream,-,05-Nov,3:00 pm,"The Coliseum, Hard Rock Hotel Singapore, Resorts World Sentosa",-,-,-,-,-,-,-,-
Queen Forever Dont Stop Me Now 2022,-,-,Shoppingtown Hotel,-,-,10-Dec,-,Shoppingtown Hotel,Shoppingtown Hotel,-,-,-,queenforever.com.au,-,-,-
The Guitar Show,artist 01,artist 02 artist 03,-,-,-,Nov-28,-,-,-,-,-,-,www.website.com,-,-,-
Four Chord Music Festival,-,-,-,four chord music & drusky entertainment,-,Sept 9 2022 Sept 10 2022,-,-,"Wild Things Park, Pittsburgh",Pittsburgh,PA,$85,fourchordmusicfestival.com,-,-,-
Happy St. Patrick's Day,-,-,-,-,live music free prizes open bar giveaways,March 17th,-,-,"123 Anywhere St, Any City",Any City,-,-,-,-,-,-
Punk Music,Complete Control ,Tommy White My Own Worst Enemy Franklin Williams All the Small Things The Fireworks,Central Musical Park,-,-,20-Mar,9:00 pm,Central Musical Park,Central Musical Park,-,-,-,-,-,-,-
Rustix Music & Arts Fest,the turner swingers ,angela mayer,-,heiman multimedia,-,Sep-26,7:30 pm,-,123 Anywhere St,-,-,-,www.reallygreatsite.com,-,-,-
Leaf Festival ,shovels & rope,trevor hall larkin poe black violin the war and treaty molly tuttle the east pointers,-,-,-,May 9-12,-,-,"Black Mountain, NC",-,NC,-,theleaf.org,-,-,-
8th International Jazz Festival 1974,-,-,-,-,-,June 28-29-30,-,-,"Montreaux, Switzerland",Montreaux,Switzerland,-,-,-,-,-
Live Music on the Patio,-,-,-,-,bounce house games food and drink specials,May-20,5 p.m. - 8 p.m.,-,-,-,-,-,-,-,-,-
Woodstock,Max Yasgur's Farm,-,-,-,-,August 15.16.17,-,-,"Catskills, NY",Catskills,NY,-,-,-,-,-
Electro Fest 2012,bitter soet ,ses myl dj sasquach dj anim dj arch dj kronk dj blackie dj essol dj stone dj altel,Arcade Empire,-,-,14-Dec,-,Arcade Empire,Arcade Empire,-,-,-,-,-,-,-
Glastonbury Festival,billie eilish,-,Worthy Farm,-,-,24th June 2022,-,Worthy Farm,"Pilton, Somerset",Pilton,Somerset,-,-,-,-,-
Summer Breezin Original Summer Rock Show,-,-,-,centre stage,-,July 13-Aug 6,-,-,-,-,-,$35,centrestage.org,-,-,-
Synthwave,-,-,Expo,-,-,1-5 July,-,Expo,"Expo, Nur-Sultan",Nur-Sultan,-,-,-,-,-,-
Tawba Walk Arts & Music Festival 2022,-,-,-,old town cornelius,-,-,-,-,-,-,-,-,-,-,-,-
Jellyfish Festival ,-,-,Caroline Street,live wire media & events,music craft beer vendors beach fitness,June 4th & 5th 2022,-,Caroline Street,"Caroline Street, Boardwalk, Ocean City, Maryland",Ocean City,Maryland,-,-,-,-,-
W.C. Handy Music Festival ,off the chain,bo and the boys,North Court Street Median,-,live music food trucks,Jul-26,6-9 PM,North Court Street Median,-,-,-,-,-,-,-,-
Weho Pride,-,-,-,-,-,June 3-5,-,-,-,-,-,-,WeAreOUTLOUD.com,-,-,-
Squaw Valley Summer Music Festival,jerry garcia,band jimmy cliff tower of power rhythm tribe,-,-,-,Aug-24,-,-,"Squaw Valley, California",Squaw Valley,California,-,-,-,-,-
5th Ink Soul Tattoo & Music Festival,ranvijay singha,edward maya,-,whiskers,tattoos music flea food,11-Nov,-,-,-,-,-,-,-,-,-,-
Belmont-Sheffield Music Festival ,-,-,Belmont-Sheffield,-,non-stop music local food arts & crafts,May 28 - 29,11:00AM - 10:00PM,Belmont-Sheffield,"Belmont-Sheffield, Chicago",Chicago,-,$10,www.chicagoevents.com,-,-,-
Hilberry The Harvest Moon 2022,Railroad Earth,"Oteil & Friends, Corey Wong",The Farm,railroadearth and deadhead productions,-,Sept 29th - Oct 2nd,-,The Farm,"The Farm, Eureka Springs, AR",Eureka Springs,AR,-,-,-,-,-
Wake The Giant,Metric,Coleman Hell Crown Lands July Talk Nick Ferrio,Thunder Bay Waterfront,-,-,Sept 14th 2019,-,Thunder Bay Waterfront,Thunder Bay Waterfront,-,-,-,wakethegiant.ca,-,-,-
Munkey Fest Lakeside Party,-,-,Sunshine Coast,black flag brewing,-,26th Nov,-,Sunshine Coast,"Sunshine Coast, QLD",-,QLD,-,-,-,-,-
Southern Soul Music Festival ,Tucka,"calvin richardson, pokey bear, sir charles jones, nellie travis, fatdaddy ronnie bell, theodies ealey, king george",marvin dixon,-,-,Dec 17th 2022,8:00 pm,Bell County Expo Center,"301 W Loop 121 Belton, TX",Belton,TX,-,bellcountyexpo.com,-,-,-
Okeechobee musicxarts festival,-,-,-,-,-,"March 2-5, 2023",-,Sunshine Grove,"Sunshine Grove, Okeechobee FL",Okeechobee,FL,-,-,-,-,-
Leaf Festival ,Toots & The Maytals,Los Lobos Elephant Revival,-,-,-,Oct 19-22 2017,-,-,"Black Mountain, NC",-,NC,-,theleaf.org,-,-,-
Hard Rock Halloween,Lifespeed,Event Horizon The Original Copy Undisputed Changing Lanes The Remix Painted Young JulezDrumz,Bar Anticiaption,-,-,Oct-27,8:00 pm,Bar Anticipation,703 16th Ave,Lake Como,NJ,Free,-,-,-,-
Wolfe Island Music Festival 2018,Weakerthans,"Shad, The Sadies, Think About Life, Cuff the Duke, Bahamas, Diamond Rings, The Acorn, NQ Arbuckle, Daniel Romano, The Bidiniband, MemoryHouse, Jim Bryson, ",-,-,-,6-7 August 2018,-,-,-,-,-,-,wolfeislandmusicfestival.com,-,-,-
Appaloosa Roots Music Festival,Scythian,"Molly Tuttle, BirdTalker, Everyday Everybody, Gothard Sisters, Presley Barker, Arbo, Ben-David Warner Brand, Justin Trawick and the Common Good, Honeyday, Smoke & The Poet, Pickin' Thistles, Cake For Dinner, Jubileum Music Therapy Academy",Skyline Ranch Resort,-,Camping,3-4 September 2022,-,Skyline Ranch Resort,"Skyline Ranch Resort, Front Royal, VA",Front Royal,VA,-,-,Yes,No,-
DoonHame Festival,The WaterBoys,"Alabama 3, Bad Manners, The Feeling",Crichton Trust,MKM,-,22-23 July 2022,-,The Crichton,"The Crichton, Dumfries",Dumfries,-,-,doonhamefestival.co.uk,-,-,-
European Music Day 2022,-,-,-,-,-,21-Jun-22,-,-,-,-,-,-,-,-,-,-
Brilliant Corners - A Festival of Jazz in Belfast,Lakecia Benjamin,"Witch n Monk, Jaimie Branch, Alexander Haekins Solo, Leila Martial, Benjamin Herman Trio, Oscar Jan Hoogland, ReDiviDeR, Yorodny, Jack Joseph James, Scott Flanigan, Meilana Gillard, Dave Redman, Alpha Chrome Yayo",Vimeo,Moving on Music,-,26-Mar-21,-,"New York, Paris, Amsterdam, Berlin, London, Dublin, Maghera, Belfast",-,-,-,10 pounds,brilliantcornersbelfast.com,-,-,-
European Muliticultural Festival,-,-,"Polish White Eagle Club, Australian Croatian Club, Alliance Francaise de canberra",-,"Traditional Food, Drinks, Dancing, Music and Activities from across Europe",22-May,11am-3pm,-,"66-68 McCaughey St, Turner",-,-,Free,-,-,-,-
Music Party,Artist Name,"Artist 2, Artist 3, Artist 4, Artist 5",Club Name,Club Name,Music,24-Feb,12:00 am,-,-,-,-,$10,-,-,-,-
Crave ,-,-,Smiley Pete Publishing,Smiley Pete Publishing,"Food, Music, Beer & Cocktails, Classic Car Show, Kids Activities & More",11-12 August 2018,-,Bluegrass Fairgrounds ,"Masterson Station Park, Lexington, KY",Lexington,KY,-,-,-,-,-
Friendship 2023,-,-,AMF,AMF,"4 Nights, Private Island + More",27 Feb - 3 Mar,-,-,"Miami, FL",Miami,Fl,-,thefriendship.com,-,-,-
The Four Chord Music Fest,Blink-182,"The Used, State Champs, Mayday Parade, Four Year Strong, The Ataris, Hit the Lights, sleep on it, eternal boy, patent pending, keep flying, fortune cove, look out loretta",Wild Things Park,"Feed the scene, Monster, Revival, Dancing Gnome, Drusky Entertainment",-,17-Jul-21,-,Wild Things Park,"Wild Things Park, Pittsburgh/Washington, PA",Pittsburgh/Washington,PA,-,fourchordmusicfestival.com,-,-,-
Womad The World's Festival,De La Soul,"Tinariwen, Bellowhead, Eska, aurelio, osaka monaurail, shantel & buconvina club orkestar, molotov jukebox, dare to discover",-,-,-,24-26 July 2015,-,Charlton Park,Charlton Park,-,-,-,@womadfestival,-,-,-
Memorial Weekend Music Fest,Rosehill,"Iris, Piper Reef, Raue, Follow me dark, Moon Mode, Rush Hour X, Aquageist",DNA Lounge,-,-,29th May,-,DNA Lounge,"375 11th St, San Francisco, CA 94103",San Francisco,CA,$12,-,Yes,No,-
Down in the Reeds - Red Baraat,Medicine Singers,"Yonatan Gat, Mary-El, Sound of the City, Project Locrea, Alison Crockett, Bele Bele Rhythm Collective, FFC Morenada Bolivia USA, Washington Jazz Arts Institute Youth Ensemble IMKA, Lucid District, Hands on Drums, House of Musical Traditions",-,"ANXO, VEN, ATLAS",-,8th October,11 AM - 7 PM,The Parks at Walter Reed,The Parks at Walter Reed,-,-,Free,downinthereeds.com,-,-,-
Miami Valley Music Fest,-,-,Charity Rocks,"91.3, WYSO",-,"10-11 Aug, 2012",-,"Eagles Campground, Troy, Ohio","Eagles Campground, Troy, Ohio",Troy,Ohio,-,MiamiValleyMusicFest.com,-,-,-
Mayfair Festival of the Arts,-,-,AllenTown,-,"Bluegrass, Folk, Classic Rock, Jazz, Country, Celtic","22-25 May, 2015",-,AllenTown Fairgrounds,-,-,-,-,-,-,-,-
American Music Festival,BridgePort Symphony Orchestra,"Griffes,Taylor, MacDowell, Powell, Hadley, Porter, Gershwin, Rudolph Gruen",Central High School Auditorium,Federal Music Project,"Pianist, Conductor, Orchestra",23-Feb,8:15 pm,Central High School Auditorium,-,-,-,40 cents,-,-,-,-
Art and Music Festival,-,-,Isle Of Hope,Isle Of Hope,"Food Trucks, Live Music, Artists",22-Oct-22,10-8PM,"Bluff Drive, Isle Of Hope, Paxton Park",-,-,-,-,iohartmusicfest.com,-,-,-
Music Festival,Dj Kimberly,-,Borcelle,Borcelle,-,23-Dec-23,9:00 am,"123 Anywhere St, Any City","123 Anywhere St, Any City",Any City,-,Free,reallygreatsite.com,-,-,-
Art and Music Festival,-,-,Clinton Chamber of Commerce,-,"Live Music, Artist Market, Food Trucks, Kids Activities, Cornhole Tournament, Art Demos",27th August 2022,10:00 am,"Clinton, NY","Clinton, NY",NY,NY,FREE,clintonnychamber.org,-,-,-
Pool Party,-,-,-,-,"Free Drinks, BBQ, Live Music, Doorprize",24th July,2:00 pm,-,-,-,-,-,fotor.com,-,-,-
El Dorado World Tour,Shakira,-,-,"Trafalgr, Sony Music",-,Nov 13 & 17,-,-,-,-,-,-,shakira.film,-,-,-
Science Fair,-,-,-,-,Improve your science knowledge and spend the day having fun,22-Jul,12-18 PM,-,-,-,-,FREE,reallygreatsite.com,-,-,-
The Woman is Powerful,-,-,Buttonhill Music Studio,-,"music, visual art, poetry, wine and chocolates",08-Mar,6:30 pm,Buttonhill Music Studio,"Buttonhill Music Studio, 154 High St, Mineral Point, WI",Mineral Point,WI,FREE,lunartfestival.com,-,-,-
Music,Artist Name,-,Club Name,-,-,20th October 2021,22:00 PM,-,-,-,-,FREE,2021music.com,-,-,-
Summer Event,Luke Robertson,Anne Louise & The band,-,-,-,24-Aug,7PM to 1AM,Green Hills,"Street Name, Location Name, NR. 23 56",CITY NAME,-,-,yourwebsite.com,-,-,-
Elegant Event,Dj Love,"Dj Heart, Dj Kiss",Your Club,-,music,31 June,20:00H,-,-,-,-,$8,yourticketsweb.com,No,Yes,-
TGIF Party,-,-,Razzle Dazzle Club,-,-,7th March,9:00 pm,2692 Welson St,"Welson St, LA, CA",LA,CA,$19,razzledazzle.site.com,-,-,-
Block Party,-,-,-,-,"music, food, drink",21-May-21,-,"Brick Field, Harrisburg, PA","Brick Field, Harrisburg, PA",Harrisburg,PA,-,-,-,-,-
Comedy On College,Clare BelFord,Heather MacDonald,Beerocracy,-,comedy,Tuesday,8,583 College St,583 College St,-,-,-,facebook.com/comedyoncollege,-,-,-
Quiz Night,-,-,Darfield High School,Darfield High School,-,13-Jun,7:00 pm,Darfield High School,Darfield High School,-,-,-,-,-,-,-
Concert with Paul Graham,Paul Graham,"Emmanuelle Iory, Denise Sophia",-,Caterpillar,"Music, DJ, Drinks",20-Mar,8:00 pm,Sydney Grand Hall Art Theatre,Sydney Grand Hall Art Theatre,-,-,$15,-,-,-,-
ONE Charity Concert,DJ Valentino,Ayub John,Mayapada Tower,"Church, Creative Trading, Play 99ers",Charity Concert,24-Feb,6:00 pm,Mayapada Tower,"Mayapada Tower 16th Floor, sudirman street 355, bandung",bandung,-,-,-,-,-,-
Scout Camp Adventure,-,-,Liceria High School,"Hanover and Tyke, Rimberio Co. Keithston and Partners, Giggling Platypus Co. Larana, Inc.","Live Music, Games, DoorPrizes",8-10 October 2024,-,-,-,-,-,-,reallygreatsite.com,-,-,-
Ready Set Glow - Skeet Skeet,Dwntwn,Gene-e-ous,-,"PartyTenders, Wazzupcruces, Hurricane Alley, Justin Hodges","Gogos, Complimentary Glow Sticks, Glasses, Necklaces and more",03-Mar,9PM - 2AM,Hurricane Alley,-,-,-,-,-,No,Yes,-
Coachella,Harry Styles,"Billie Eilish, Ye, Doja Cat, Lil Baby, Flume, Swedish House Mafia","Indio California, Empire Polo Club",GoldenVoice,-,"15 April, 22 April, 16 April, 23 April, 17 April, 24 April",-,"Indio, California",-,Indio,CA,-,-,-,-,-
DarkSynth,Perturbator,"Carpenter brut, Dance with the dead",Nur-Sultan (Astana Expo),-,-,04-Jul,-,Nur-Sultan (Astana) Expo,-,-,-,-,/synthwave,-,-,-
The Filthy Lucre tour,Sex Pistols,"Iggy Pop, Willhearts, skunk anansie, buzzcocks, shane macgowan, 60ft dolls, fluffy, 3 colours red",-,mean fiddler,-,23-Jun-96,-,Finsbury Park,London n4,London,-,22.50 pounds,-,-,-,-
Back to the Roots,DJ Cliff Hanger,-,Any Arena,-,-,12-Nov-25,-,Any Arena,-,-,-,-,-,-,-,-
Music Festival,Dj Name,"Dj Name, Dj Name",-,-,-,12-15 June,8-12PM,-,-,Bangkok,-,-,yourtexthere.com,-,-,-
BEON1X Open Mind Music Festival,Carl Cox,"Boris Brejcha, maceo plex, deborah de luca, jamie jones, paul kalkbrenner, sven väth, sasha, john digweed, nick warren, luciano",BEON1X,-,-,"23-25 Sep, 30 Sep - 2 Oct",-,-,Larnaca district,Cyprus,-,-,-,-,-,-
Coachella,Harry Styles,"Billie Eilish, Ye, Doja Cat, Lil Baby, Flume, Swedish House Mafia","Indio California, Empire Polo Club",GoldenVoice,-,"15 April, 22 April, 16 April, 23 April, 17 April, 24 April",-,"Indio, California",-,Indio,CA,-,-,-,-,-
Hardronic Music Festival,A blast from the past,"The canettes, covergeld, diracula, les croque monsieur, metal justice, miss proper and the moving targets, n f b, shadowplay",CERN,CERN Music Club,"Free Shuttles, Food and Drinks",23-Jul-22,3:00 pm,R3 Terrace,-,Prevessin,-,FREE,cern.ch/hardronic,-,-,-
Made Festival - The Streets,Artwork,"Flava d, gorgon city, holy goof, horse meat disco, hybrid minds, jay1, sasasas, shy fx, sonny fodera, stefflon don, wilkinson",-,Phase One,-,01-Aug-20,-,Sandwell Valley Country Park,-,-,-,-,made-festival.co.uk,-,-,-
St Louis Music Festival - No Limit Reunion Tour,Keyshia Cole,"JA Rule, Mercedes, Choppa Style, Mystikal, Mia X, Mr. Serv-on, Silkx the shocker, fiend, blackstreet, donell jones, dave hollister, silk, brownstone",-,Urban Vibe Entertainment,-,-,-,-,-,-,-,-,-,-,-,-
Rock on the Beach Music Festival,Violet Wautier,"INK waruntorn, The parkinson, ETC, Twopee Southside, Ben Chalatit",-,-,-,"17-19 June, 24-26 June",3-10PM,"Patong Beach, Port Takola, Yacht Marina",-,"Phuket, Krabi",-,FREE,-,-,-,-
Boogietown,Gloria Gaynor,"Sister Sledge, Soul II Soul, The breand new heavies, the real thing, heatwave odyssey, artwork, horse meat disco, roger sanchez, raw silk, lilah francs, siggy smalls, gerrardo, fat tony",-,-,-,10-Sep-22,-,Apps Court Farm,"Apps Court Farm, Walton-on-thames, Surrey",Surrey,-,-,boogietown.co.uk,-,-,-
Candler Park Music Festival,-,-,-,"Scofflaw Brewing Co, Rival Entertainment","Food Trucks, Local Vendors, Artist Market",3-4 June 2022,-,Candler Park,-,-,ATL/GA,-,-,-,-,-
Zion Canyon Music Festival,-,-,-,"The independent, OC Tanner Amphitheater, Bit & Spur","Two stages, Great Food, Beer and Wine, Vendor Village, Family Friendly, Free Kid Zone Inflatables",23-24 September 2022,-,OC Tanner Amphitheatre,OC Tanner Amphitheatre,SpringDale,Utah,-,zioncanyonmusicfestival.com,-,-,-
The Rockfest,UCUP Emus,"Beton Busiat, UCI Busiat",Galaxy Club,OKOY,"Free Drinks, Free Parking",28-Dec-17,10:00 pm,Galaxy Club,-,-,-,$15,yoursite.com,-,-,-
Rhythm and Blues by the Brook,Rose Royce,"Freddie Jackson, Rob Base, Candyman, Alexis Morrast, Dj Bookeem",-,The union county board of county commissioners,"Petting Zoo, Pony Rides, Health and Wellness Fair, Food Court and Marketplace, Car Show",04-Jun-22,-,-,"Cedar Brook Park, Plainfield",Plainfield,-,-,ucnj.org,-,-,-
